Unit,Model,SL,ratio,lots,markup,term_k,eval_end,fill_rate,cycle_service,avg_oh,avg_bl,total_cost,demand_2024,end_oh,end_pipe
BR_1.0-1.5,hybrid,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,282836.5850229202,0.0,3394039.020275043,525300.0,237053.25168958696,0.0
BR_1.0-1.5,hybrid,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,282836.5850229202,0.0,3394039.020275043,525300.0,237053.25168958696,0.0
BR_1.0-1.5,hybrid,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,269412.04385375086,0.0,3232944.52624501,525300.0,227438.81714029302,0.0
BR_1.0-1.5,hybrid,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,344525.949192261,0.0,4134311.3903071317,525300.0,288315.5325255943,0.0
BR_1.0-1.5,hybrid,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,344525.949192261,0.0,4134311.3903071317,525300.0,288315.5325255943,0.0
BR_1.0-1.5,hybrid,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,344525.949192261,0.0,4134311.3903071317,525300.0,288315.5325255943,0.0
BR_1.0-1.5,hybrid,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,344525.949192261,0.0,4134311.3903071317,525300.0,288315.5325255943,0.0
BR_1.0-1.5,hybrid,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,344525.949192261,0.0,4134311.3903071317,525300.0,288315.5325255943,0.0
BR_1.0-1.5,hybrid,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,332797.5979787114,0.0,3993571.1757445373,525300.0,284347.84695123247,0.0
BR_1.0-1.5,mitra,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,189426.03858355802,0.0,2273112.463002696,525300.0,191607.288583558,0.0
BR_1.0-1.5,mitra,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,189426.03858355802,0.0,2273112.463002696,525300.0,191607.288583558,0.0
BR_1.0-1.5,mitra,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,189426.03858355802,0.0,2273112.463002696,525300.0,191607.288583558,0.0
BR_1.0-1.5,mitra,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,189426.03858355802,0.0,2273112.463002696,525300.0,191607.288583558,0.0
BR_1.0-1.5,mitra,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,189426.03858355802,0.0,2273112.463002696,525300.0,191607.288583558,0.0
BR_1.0-1.5,mitra,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,177150.6076818195,0.0,2125807.292181834,525300.0,181787.8155336635,0.0
BR_1.0-1.5,mitra,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,253885.71433449947,0.0,3046628.5720139937,525300.0,251896.13100116618,0.0
BR_1.0-1.5,mitra,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,253885.71433449947,0.0,3046628.5720139937,525300.0,251896.13100116618,0.0
BR_1.0-1.5,mitra,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,253885.71433449947,0.0,3046628.5720139937,525300.0,251896.13100116618,0.0
BR_1.0-1.5,mitra,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,253885.71433449947,0.0,3046628.5720139937,525300.0,251896.13100116618,0.0
BR_1.0-1.5,mitra,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,253885.71433449947,0.0,3046628.5720139937,525300.0,251896.13100116618,0.0
BR_1.0-1.5,mitra,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,244880.54091954706,0.0,2938566.4910345646,525300.0,241567.8012026553,0.0
BR_1.0-1.5,mitra,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,331103.53027261735,0.0,3973242.3632714082,525300.0,316601.44693928404,0.0
BR_1.0-1.5,mitra,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,331103.53027261735,0.0,3973242.3632714082,525300.0,316601.44693928404,0.0
BR_1.0-1.5,mitra,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,331103.53027261735,0.0,3973242.3632714082,525300.0,316601.44693928404,0.0
BR_1.0-1.5,mitra,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,331103.53027261735,0.0,3973242.3632714082,525300.0,316601.44693928404,0.0
BR_1.0-1.5,mitra,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,331103.53027261735,0.0,3973242.3632714082,525300.0,316601.44693928404,0.0
BR_1.0-1.5,mitra,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,321093.02841633494,0.0,3853116.3409960195,525300.0,308834.682957359,0.0
BR_1.0-1.5,naive,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,531086.2366131122,0.0,6373034.839357345,525300.0,606257.0699464454,0.0
BR_1.0-1.5,naive,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,531086.2366131122,0.0,6373034.839357345,525300.0,606257.0699464454,0.0
BR_1.0-1.5,naive,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,531086.2366131122,0.0,6373034.839357345,525300.0,606257.0699464454,0.0
BR_1.0-1.5,naive,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,531086.2366131122,0.0,6373034.839357345,525300.0,606257.0699464454,0.0
BR_1.0-1.5,naive,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,531086.2366131122,0.0,6373034.839357345,525300.0,606257.0699464454,0.0
BR_1.0-1.5,naive,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,520047.7672442339,0.0,6240573.206930807,525300.0,584481.1009674527,0.0
BR_1.0-1.5,naive,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,604314.6393998972,0.0,7251775.672798766,525300.0,675314.6393998971,0.0
BR_1.0-1.5,naive,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,604314.6393998972,0.0,7251775.672798766,525300.0,675314.6393998971,0.0
BR_1.0-1.5,naive,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,604314.6393998972,0.0,7251775.672798766,525300.0,675314.6393998971,0.0
BR_1.0-1.5,naive,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,604314.6393998972,0.0,7251775.672798766,525300.0,675314.6393998971,0.0
BR_1.0-1.5,naive,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,604314.6393998972,0.0,7251775.672798766,525300.0,675314.6393998971,0.0
BR_1.0-1.5,naive,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,584134.0603269668,0.0,7009608.723923601,525300.0,657987.5823044344,0.0
BR_1.0-1.5,naive,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,664288.9685151489,0.0,7971467.622181786,525300.0,749886.8851818156,0.0
BR_1.0-1.5,naive,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,664288.9685151489,0.0,7971467.622181786,525300.0,749886.8851818156,0.0
BR_1.0-1.5,naive,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,664288.9685151489,0.0,7971467.622181786,525300.0,749886.8851818156,0.0
BR_1.0-1.5,naive,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,664288.9685151489,0.0,7971467.622181786,525300.0,749886.8851818156,0.0
BR_1.0-1.5,naive,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,664288.9685151489,0.0,7971467.622181786,525300.0,749886.8851818156,0.0
BR_1.0-1.5,naive,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,656246.5750867274,0.0,7874958.901040729,525300.0,740700.077681693,0.0
BR_1.0-1.5,rf,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,221174.89128020694,0.0,2654098.695362483,525300.0,198331.14128020697,0.0
BR_1.0-1.5,rf,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,221174.89128020694,0.0,2654098.695362483,525300.0,198331.14128020697,0.0
BR_1.0-1.5,rf,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,221174.89128020694,0.0,2654098.695362483,525300.0,198331.14128020697,0.0
BR_1.0-1.5,rf,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,221174.89128020694,0.0,2654098.695362483,525300.0,198331.14128020697,0.0
BR_1.0-1.5,rf,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,221174.89128020694,0.0,2654098.695362483,525300.0,198331.14128020697,0.0
BR_1.0-1.5,rf,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,213044.4817771064,0.0,2556533.781325277,525300.0,197149.91547875118,0.0
BR_1.0-1.5,rf,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,275977.7783519137,0.0,3311733.340222964,525300.0,263561.1116852469,0.0
BR_1.0-1.5,rf,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,275977.7783519137,0.0,3311733.340222964,525300.0,263561.1116852469,0.0
BR_1.0-1.5,rf,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,275977.7783519137,0.0,3311733.340222964,525300.0,263561.1116852469,0.0
BR_1.0-1.5,rf,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,275977.7783519137,0.0,3311733.340222964,525300.0,263561.1116852469,0.0
BR_1.0-1.5,rf,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,275977.7783519137,0.0,3311733.340222964,525300.0,263561.1116852469,0.0
BR_1.0-1.5,rf,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,259824.9270682447,0.0,3117899.1248189365,525300.0,245861.2014419458,0.0
BR_1.0-1.5,rf,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,326425.5677864865,0.0,3917106.8134378386,525300.0,305667.23445315316,0.0
BR_1.0-1.5,rf,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,326425.5677864865,0.0,3917106.8134378386,525300.0,305667.23445315316,0.0
BR_1.0-1.5,rf,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,326425.5677864865,0.0,3917106.8134378386,525300.0,305667.23445315316,0.0
BR_1.0-1.5,rf,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,326425.5677864865,0.0,3917106.8134378386,525300.0,305667.23445315316,0.0
BR_1.0-1.5,rf,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,326425.5677864865,0.0,3917106.8134378386,525300.0,305667.23445315316,0.0
BR_1.0-1.5,rf,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,312464.1949873675,0.0,3749570.33984841,525300.0,300673.1301558296,0.0
BR_1.0-1.5,sba,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,155626.944814221,0.0,1867523.337770652,525300.0,182833.194814221,0.0
BR_1.0-1.5,sba,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,155626.944814221,0.0,1867523.337770652,525300.0,182833.194814221,0.0
BR_1.0-1.5,sba,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,155626.944814221,0.0,1867523.337770652,525300.0,182833.194814221,0.0
BR_1.0-1.5,sba,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,155626.944814221,0.0,1867523.337770652,525300.0,182833.194814221,0.0
BR_1.0-1.5,sba,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,155626.944814221,0.0,1867523.337770652,525300.0,182833.194814221,0.0
BR_1.0-1.5,sba,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,136759.403055919,0.0,1641112.8366710283,525300.0,167399.61679892114,0.0
BR_1.0-1.5,sba,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,186439.8179728604,0.0,2237277.8156743245,525300.0,209475.23463952704,0.0
BR_1.0-1.5,sba,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,186439.8179728604,0.0,2237277.8156743245,525300.0,209475.23463952704,0.0
BR_1.0-1.5,sba,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,186439.8179728604,0.0,2237277.8156743245,525300.0,209475.23463952704,0.0
BR_1.0-1.5,sba,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,186439.8179728604,0.0,2237277.8156743245,525300.0,209475.23463952704,0.0
BR_1.0-1.5,sba,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,186439.8179728604,0.0,2237277.8156743245,525300.0,209475.23463952704,0.0
BR_1.0-1.5,sba,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,176907.0351721552,0.0,2122884.4220658625,525300.0,203610.21414188773,0.0
BR_1.0-1.5,sba,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,237272.69611925483,0.0,2847272.353431058,525300.0,264478.9461192548,0.0
BR_1.0-1.5,sba,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,237272.69611925483,0.0,2847272.353431058,525300.0,264478.9461192548,0.0
BR_1.0-1.5,sba,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,237272.69611925483,0.0,2847272.353431058,525300.0,264478.9461192548,0.0
BR_1.0-1.5,sba,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,237272.69611925483,0.0,2847272.353431058,525300.0,264478.9461192548,0.0
BR_1.0-1.5,sba,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,237272.69611925483,0.0,2847272.353431058,525300.0,264478.9461192548,0.0
BR_1.0-1.5,sba,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,222082.79077115704,0.0,2664993.4892538846,525300.0,244355.85739485978,0.0
BR_1.0-1.5,ses,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,185792.74516488708,0.0,2229512.941978645,525300.0,219255.2451648871,0.0
BR_1.0-1.5,ses,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,185792.74516488708,0.0,2229512.941978645,525300.0,219255.2451648871,0.0
BR_1.0-1.5,ses,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,185792.74516488708,0.0,2229512.941978645,525300.0,219255.2451648871,0.0
BR_1.0-1.5,ses,0.9,20,True,-1.0,0.0,2024-12-01,1.0,1.0,185792.74516488708,0.0,2229512.941978645,525300.0,219255.2451648871,0.0
BR_1.0-1.5,ses,0.9,50,True,-1.0,0.0,2024-12-01,1.0,1.0,185792.74516488708,0.0,2229512.941978645,525300.0,219255.2451648871,0.0
BR_1.0-1.5,ses,0.9,10,False,-1.0,0.0,2024-12-01,1.0,1.0,177208.46169436126,0.0,2126501.540332335,525300.0,211996.6758924632,0.0
BR_1.0-1.5,ses,0.95,2,True,-1.0,0.0,2024-12-01,1.0,1.0,237403.7892017602,0.0,2848845.4704211224,525300.0,258353.7892017602,0.0
BR_1.0-1.5,ses,0.95,5,True,-1.0,0.0,2024-12-01,1.0,1.0,237403.7892017602,0.0,2848845.4704211224,525300.0,258353.7892017602,0.0
BR_1.0-1.5,ses,0.95,10,True,-1.0,0.0,2024-12-01,1.0,1.0,237403.7892017602,0.0,2848845.4704211224,525300.0,258353.7892017602,0.0
BR_1.0-1.5,ses,0.95,20,True,-1.0,0.0,2024-12-01,1.0,1.0,237403.7892017602,0.0,2848845.4704211224,525300.0,258353.7892017602,0.0
BR_1.0-1.5,ses,0.95,50,True,-1.0,0.0,2024-12-01,1.0,1.0,237403.7892017602,0.0,2848845.4704211224,525300.0,258353.7892017602,0.0
BR_1.0-1.5,ses,0.95,10,False,-1.0,0.0,2024-12-01,1.0,1.0,224637.33266866565,0.0,2695647.9920239877,525300.0,254419.88912157563,0.0
BR_1.0-1.5,ses,0.98,2,True,-1.0,0.0,2024-12-01,1.0,1.0,290777.41582513956,0.0,3489328.989901675,525300.0,324239.9158251395,0.0
BR_1.0-1.5,ses,0.98,5,True,-1.0,0.0,2024-12-01,1.0,1.0,290777.41582513956,0.0,3489328.989901675,525300.0,324239.9158251395,0.0
BR_1.0-1.5,ses,0.98,10,True,-1.0,0.0,2024-12-01,1.0,1.0,290777.41582513956,0.0,3489328.989901675,525300.0,324239.9158251395,0.0
BR_1.0-1.5,ses,0.98,20,True,-1.0,0.0,2024-12-01,1.0,1.0,290777.41582513956,0.0,3489328.989901675,525300.0,324239.9158251395,0.0
BR_1.0-1.5,ses,0.98,50,True,-1.0,0.0,2024-12-01,1.0,1.0,290777.41582513956,0.0,3489328.989901675,525300.0,324239.9158251395,0.0
BR_1.0-1.5,ses,0.98,10,False,-1.0,0.0,2024-12-01,1.0,1.0,278890.6930699272,0.0,3346688.3168391264,525300.0,302156.22154123196,0.0
BR_1.0-1.5,tsb,0.9,2,True,-1.0,0.0,2024-12-01,1.0,1.0,183899.12255344633,0.0,2206789.470641356,525300.0,217361.62255344633,0.0
BR_1.0-1.5,tsb,0.9,5,True,-1.0,0.0,2024-12-01,1.0,1.0,183899.12255344633,0.0,2206789.470641356,525300.0,217361.62255344633,0.0
BR_1.0-1.5,tsb,0.9,10,True,-1.0,0.0,2024-12-01,1.0,1.0,183899.12255344633,0.0,2206789.470641356,525300.0,217361.62255344633,0.0
